index,voxel_count,volume,aspect_ratio,sphericity
141,8,67.87528765,1.640083535,0.923865863
142,8,67.87528765,1,1
143,8,67.87528765,2.217821782,0.946282333
144,8,67.87528765,1.714227503,0.995363973
145,8,67.87528765,2.592729219,0.949813584
146,8,67.87528765,1.348516987,0.977211591
147,8,67.87528765,2.031308847,0.890521289
148,8,67.87528765,1.408,0.969133439
149,8,67.87528765,1,1
150,8,67.87528765,1.741565894,0.870758652
151,8,67.87528765,1.722506413,0.983171713
152,8,67.87528765,1.796110479,0.980430991
153,8,67.87528765,2.486222574,0.924970279
154,8,67.87528765,1.714227503,0.995363973
155,8,67.87528765,1,1
156,8,67.87528765,1.796110479,0.980430991
157,8,67.87528765,3.011834173,0.908676412
158,8,67.87528765,2.031308847,0.890521289
159,8,67.87528765,1.796110479,0.980430991
160,8,67.87528765,1.60849883,0.995363973
161,8,67.87528765,1.722506413,0.983171713
162,8,67.87528765,1.60849883,0.995363973
163,8,67.87528765,1.668634594,0.907482804
164,8,67.87528765,1,1
165,8,67.87528765,1.508621096,0.901225468
166,8,67.87528765,1.376392353,0.995363973
167,8,67.87528765,1.796110479,0.980430991
168,8,67.87528765,1.376392353,0.995363973
169,8,67.87528765,1.714227503,0.995363973
170,8,67.87528765,2.592729219,0.949813584
171,8,67.87528765,1.60849883,0.995363973
172,8,67.87528765,1.950835575,0.960662666
173,8,67.87528765,1.714227503,0.995363973
174,8,67.87528765,2.659368514,0.901225468
175,8,67.87528765,1.710450515,0.901225468
176,8,67.87528765,1.60849883,0.995363973
177,8,67.87528765,1.950835575,0.960662666
178,8,67.87528765,1.534246575,0.944711049
179,8,67.87528765,1.60849883,0.995363973
180,8,67.87528765,2.403117715,0.969133439
181,8,67.87528765,1.868237019,0.926343427
182,8,67.87528765,1,1
183,8,67.87528765,1.803879456,0.884778093
184,8,67.87528765,1.60849883,0.995363973
185,8,67.87528765,1.950835575,0.960662666
186,8,67.87528765,1.950835575,0.960662666
187,8,67.87528765,1.966442953,0.896214948
188,8,67.87528765,1.882872296,0.90820712
189,8,67.87528765,4.016543966,0.872329355
190,8,67.87528765,2.091492878,0.980430991
191,8,67.87528765,1.722506413,0.983171713
192,8,67.87528765,2.422704829,0.811779909
193,8,67.87528765,2.501511239,0.824688926
194,8,67.87528765,4.36130795,0.799665293
195,8,67.87528765,1.737446386,0.957571578
196,8,67.87528765,1.517241379,0.980430991
197,8,67.87528765,2.180327869,0.91860117
198,8,67.87528765,1.950835575,0.960662666
199,8,67.87528765,1.60849883,0.995363973
200,8,67.87528765,1.737446386,0.957571578
201,8,67.87528765,1.376392353,0.995363973
202,8,67.87528765,2.091492878,0.980430991
203,8,67.87528765,1,1
204,8,67.87528765,3.437435604,0.875289749
205,8,67.87528765,1.60849883,0.995363973
206,8,67.87528765,2.091492878,0.980430991
207,8,67.87528765,1.737446386,0.957571578
208,8,67.87528765,1.60849883,0.995363973
209,8,67.87528765,3.895004024,0.819518024
210,8,67.87528765,1.882872296,0.90820712
